title                                                                                                                                                                                                                                                     , page_url                                                                                                                                                                  , sektor                                          , subsektor                                                                                                                                                                                                                 , jenis_regulasi, nomor_regulasi            , tanggal_berlaku  , filename                                                                                                                                                                                                                                                     , file_url                                                                                                                                                                                                                                                                                                                                                                  , new_filename                                                                                                                                                                                                                                                   , pages, page_range
Produk Asuransi dan Saluran Pemasaran Produk Asuransi                                                                                                                                                                                                     , https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx                                                      , IKNB                                            , Asuransi                                                                                                                                                                                                                  , Peraturan OJK , 8 Tahun 2024              , 5 Juni 2024      , POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf                                                                                                       , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf                                                                                                                                                 , ojk-peraturan_ojk-8_tahun_2024-05062024-produk_asuransi_dan_saluran_pemasaran_produk_asuransi.pdf                                                                                                                                                              ,     9, 0-10
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek                                                                                                                                              , https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx    , Pasar Modal                                     , Perusahaan Efek                                                                                                                                                                                                           , Peraturan OJK , 6 Tahun 2024              , 2 Mei 2024       , Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun- -- POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf                        , ojk-peraturan_ojk-6_tahun_2024-02052024-pembiayaan_transaksi_efek_oleh_perusahaan_efek_bagi_nasabah_dan_transaksi_short_selling_oleh_perusahaan_efek.pdf                                                                                                       ,     2, 0-10
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah                                                                                                                                                                                             , https://www.ojk.go.id/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx                                              , Perbankan                                       , "BPR,  Perbankan Syariah"                                                                                                                                                                                                 , Peraturan OJK , 7 Tahun 2024              , 30 April 2024    , POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah -- POJK 7 Tahun 2024 Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf                                                                                       , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah/POJK%207%20Tahun%202024%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf                                                                                                                               , ojk-peraturan_ojk-7_tahun_2024-30042024-bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah.pdf                                                                                                                                                      ,     5, 0-10
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka                                                                                                                         , https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx   , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 4 Tahun 2024              , 28 Februari 2024 , POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan -- POJK 4 Tahun 2024 Laporan Kepemilikan atau Setiap Perubahan Kepemilik.pdf                                                      , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan/POJK%204%20Tahun%202024%20Laporan%20Kepemilikan%20atau%20Setiap%20Perubahan%20Kepemilik.pdf                                                                                                  , ojk-peraturan_ojk-4_tahun_2024-28022024-laporan_kepemilikan_atau_setiap_perubahan_kepemilikan_saham_perusahaan_terbuka_dan_aktivitas_menjaminkan_saham_perusahaan_terbuka.pdf                                                                                  ,     2, 0-10
Penyelenggaraan Inovasi Teknologi Sektor Keuangan                                                                                                                                                                                                         , https://www.ojk.go.id/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx                                                                , IKNB                                            , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 3 Tahun 2024              , 19 Februari 2024 , POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan -- POJK 3 Tahun 2024 Penyelenggaraan Inovasi Teknologi Sektor Keuangan.pdf                                                                                                                     , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan/POJK%203%20Tahun%202024%20Penyelenggaraan%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf                                                                                                                                                                   , ojk-peraturan_ojk-3_tahun_2024-19022024-penyelenggaraan_inovasi_teknologi_sektor_keuangan.pdf                                                                                                                                                                  ,     4, 0-10
Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah                                                                                                                                                                               , https://www.ojk.go.id/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx                                , Perbankan                                       , "Bank Umum,  Perbankan Syariah"                                                                                                                                                                                           , Peraturan OJK , 2 Tahun 2024              , 16 Februari 2024 , POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah -- POJK 2 Tahun 2024 Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah.pdf                                                           , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah/POJK%202%20Tahun%202024%20Penerapan%20Tata%20Kelola%20Syariah%20Bagi%20Bank%20Umum%20Syariah%20dan%20Unit%20Usaha%20Syariah.pdf                                                                                           , ojk-peraturan_ojk-2_tahun_2024-16022024-penerapan_tata_kelola_syariah_bagi_bank_umum_syariah_dan_unit_usaha_syariah.pdf                                                                                                                                        ,     4, 0-10
Kualitas Aset Bank Perekonomian Rakyat                                                                                                                                                                                                                    , https://www.ojk.go.id/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx                                                                                       , Perbankan                                       , BPR                                                                                                                                                                                                                       , Peraturan OJK , 1 Tahun 2024              , 11 Januari 2024  , Kualitas-Aset-Bank-Perekonomian-Rakyat -- POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.pdf                                                                                                                                                       , https://www.ojk.go.id/id/regulasi/Documents/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat/POJK%201%20Tahun%202024%20Kualitas%20Aset%20Bank%20Perekonomian%20Rakyat.pdf                                                                                                                                                                                                     , ojk-peraturan_ojk-1_tahun_2024-11012024-kualitas_aset_bank_perekonomian_rakyat.pdf                                                                                                                                                                             ,     3, 0-10
Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka                                                                                                                                                                                          , https://www.ojk.go.id/id/regulasi/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-.aspx                                                            , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 29 Tahun 2023             , 29 Desember 2023 , Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka- -- POJK 29 Tahun 2023 Pembelian Kembali Saham Yang Dikeluarkan Oleh Perusahaan Terbuka.pdf                                                                                                 , https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-/POJK%2029%20Tahun%202023%20Pembelian%20Kembali%20Saham%20Yang%20Dikeluarkan%20Oleh%20Perusahaan%20Terbuka.pdf                                                                                                                                         , ojk-peraturan_ojk-29_tahun_2023-29122023-pembelian_kembali_saham_yang_dikeluarkan_oleh_perusahaan_terbuka.pdf                                                                                                                                                  ,     2, 0-10
Penyelenggaraan Usaha Dana Pensiun                                                                                                                                                                                                                        , https://www.ojk.go.id/id/regulasi/Pages/Penyelenggaraan-Usaha-Dana-Pensiun.aspx                                                                                           , IKNB                                            , Dana Pensiun                                                                                                                                                                                                              , Peraturan OJK , 27 Tahun 2023             , 27 Desember 2023 , Penyelenggaraan-Usaha-Dana-Pensiun -- POJK 27 Tahun 2023 Penyelenggaraan Usaha Dana Pensiun.pdf                                                                                                                                                              , https://www.ojk.go.id/id/regulasi/Documents/Pages/Penyelenggaraan-Usaha-Dana-Pensiun/POJK%2027%20Tahun%202023%20Penyelenggaraan%20Usaha%20Dana%20Pensiun.pdf                                                                                                                                                                                                              , ojk-peraturan_ojk-27_tahun_2023-27122023-penyelenggaraan_usaha_dana_pensiun.pdf                                                                                                                                                                                ,     6, 0-10
Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal                                                                                                                                                                                          , https://www.ojk.go.id/id/regulasi/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal.aspx                                                             , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 26 Tahun 2023             , 22 Desember 2023 , Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal -- POJK 26 Tahun 2023 Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal.pdf                                                                                                  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal/POJK%2026%20Tahun%202023%20Pengguna%20Standar%20Akuntansi%20Keuangan%20Internasional%20di%20Pasar%20Modal.pdf                                                                                                                                          , ojk-peraturan_ojk-26_tahun_2023-22122023-pengguna_standar_akuntansi_keuangan_internasional_di_pasar_modal.pdf                                                                                                                                                  ,     2, 0-10
